"V1","V2"
921,73
932,74
938,82
932,89
920,89
892,151
900,143
913,142
920,149
913,157
899,158
950,82
956,76
968,76
974,84
969,90
956,90
932,148
939,140
951,140
958,147
952,154
939,155
987,84
992,78
1005,78
1012,85
1006,92
993,92
971,147
977,140
990,140
997,147
991,154
978,154
1024,86
1030,79
1043,79
1050,86
1044,93
1031,92
1010,146
1016,140
1027,142
1028,150
1017,153
1062,86
1067,79
1078,79
1084,86
1081,92
1070,93
1056,139
1062,132
1070,138
1072,152
1065,158
1057,152
1093,85
1097,79
1108,78
1113,85
1108,91
1099,92
1126,84
1132,78
1145,77
1151,84
1144,90
1131,91
1103,138
1108,129
1116,129
1124,135
1128,143
1123,152
1113,157
1105,151
1164,83
1171,77
1184,76
1190,82
1183,89
1170,90
1145,151
1141,143
1148,136
1159,138
1160,148
1153,155
1202,82
1209,75
1221,74
1228,81
1221,87
1209,88
1188,135
1194,128
1203,132
1207,141
1202,149
1193,154
1187,148
1240,80
1245,71
1254,67
1261,73
1261,87
1254,94
1245,89
1220,140
1225,131
1234,127
1241,134
1240,147
1233,153
1224,149
1295,74
1304,67
1315,74
1316,88
1306,95
1296,88
1271,136
1280,129
1289,137
1290,151
1281,157
1271,149
1355,74
1365,67
1376,74
1377,90
1367,97
1357,89
1331,154
1329,139
1339,133
1350,141
1351,155
1341,162
1418,75
1427,68
1439,76
1440,91
1430,98
1419,90
1393,158
1392,143
1402,136
1413,144
1414,159
1404,166
1481,77
1490,70
1502,77
1503,92
1493,100
1482,92
1456,144
1465,137
1477,144
1478,160
1468,167
1457,160
1543,77
1553,69
1565,74
1571,86
1567,96
1555,99
1544,91
1519,143
1528,135
1539,141
1541,156
1531,164
1520,158
1630,63
1633,71
1626,78
1615,75
1611,65
1619,60
1615,132
1608,127
1606,118
1613,110
1623,111
1628,121
1624,130
1598,134
1597,144
1589,153
1580,149
1579,137
1588,131
1668,68
1663,67
1664,62
1669,63
1668,100
1663,105
1655,104
1652,96
1656,91
1663,91
1667,94
307,126
314,121
317,124
307,152
303,149
306,148
358,99
361,106
354,113
346,111
348,103
331,117
338,118
339,125
332,131
324,130
324,123
409,82
412,91
403,99
395,96
397,85
378,100
386,103
387,114
379,120
370,117
370,108
460,69
464,80
455,89
446,84
449,72
429,87
438,92
438,105
430,113
421,108
420,95
512,57
516,69
508,79
499,73
501,59
481,76
490,82
491,97
482,105
473,100
473,85
566,47
569,61
560,71
551,64
554,49
533,66
543,73
543,89
535,98
526,91
525,76
622,37
631,45
625,58
614,65
604,57
607,42
587,59
596,67
596,84
588,94
578,86
578,68
673,36
677,51
668,61
655,56
649,44
658,34
635,78
635,66
647,66
647,78
741,37
736,50
725,56
715,48
716,32
731,29
696,49
706,58
707,76
698,86
687,78
687,59
787,32
787,38
782,44
768,45
758,36
